1,"am"
2,"bok"
3,"çomar"
4,"comar"
5,"çomartohan"
6,"comartohan"
7,"sik"
8,"pezevenk"
9,"siktir"
10,"yavşak"
11,"amcık"
12,"amına"
13,"göt"
14,"götünü"
15,"götüne"
16,"amını"
17,"sikiyim"
18,"sikerim"
19,"siktim"
